Time (s),Accel Roll (deg),Gyro Roll (deg)
15.563,18.15,25.87
15.577,18.21,25.79
15.591,18.19,25.72
15.605,18.17,25.64
15.62,18.21,25.57
15.634,18.12,25.5
15.648,18.11,25.43
15.663,18.17,25.36
15.677,18.19,25.29
15.691,18.2,25.22
15.705,18.15,25.15
15.72,18.13,25.08
15.734,18.21,25.01
15.748,18.24,24.95
15.762,18.17,24.88
15.777,18.15,24.82
15.791,18.16,24.75
15.805,18.13,24.69
15.82,18.1,24.63
15.834,18.11,24.56
15.848,18.14,24.5
15.863,18.1,24.44
15.877,18.11,24.37
15.891,18.19,24.31
15.905,18.25,24.25
15.92,18.26,24.2
15.934,18.21,24.14
15.948,18.17,24.08
15.962,18.19,24.02
15.977,18.21,23.97
15.991,18.23,23.91
16.005,18.21,23.85
16.02,18.15,23.8
16.034,18.18,23.74
16.048,18.17,23.69
16.062,18.14,23.64
16.076,18.18,23.59
16.091,18.21,23.53
16.105,18.18,23.48
16.12,18.13,23.43
16.134,18.16,23.38
16.149,18.14,23.33
16.163,18.14,23.28
16.178,18.19,23.23
16.192,18.19,23.18
16.207,18.13,23.13
16.221,18.12,23.08
16.237,18.17,23.04
16.251,18.23,22.99
16.266,18.11,22.94
16.28,18.07,22.9
16.295,18.1,22.85
16.309,18.18,22.8
16.324,18.18,22.76
16.338,18.14,22.72
16.353,18.19,22.67
16.367,18.2,22.63
16.382,18.2,22.59
16.397,18.14,22.55
16.411,18.12,22.51
16.426,18.17,22.46
16.441,18.2,22.42
16.456,18.17,22.38
16.47,18.12,22.34
16.484,18.17,22.3
16.498,18.18,22.26
16.513,18.13,22.22
16.527,18.14,22.18
16.541,18.18,22.14
16.556,18.18,22.11
16.57,18.12,22.07
16.584,18.16,22.03
16.598,18.2,22.0
16.613,18.22,21.96
16.627,18.19,21.92
16.642,18.19,21.89
