Time (s),Gyro Roll (deg)
18.333,-0.77
18.347,-0.77
18.362,-0.77
18.376,-0.77
18.391,-0.77
18.405,-0.77
18.42,-0.78
18.434,-0.77
18.449,-0.78
18.464,-0.78
18.479,-0.78
18.493,-0.77
18.508,-0.77
18.522,-0.77
18.536,-0.77
18.551,-0.77
18.565,-0.77
18.582,-0.77
18.596,-0.77
18.611,-0.77
18.625,-0.77
18.64,-0.77
18.655,-0.77
18.669,-0.77
18.684,-0.78
18.698,-0.78
18.712,-0.78
18.727,-0.78
18.741,-0.78
18.756,-0.78
18.77,-0.78
18.785,-0.78
18.799,-0.78
18.814,-0.78
18.829,-0.78
18.843,-0.78
18.857,-0.78
18.872,-0.77
18.887,-0.77
18.901,-0.77
18.916,-0.77
18.93,-0.77
18.944,-0.77
18.959,-0.77
18.973,-0.77
18.988,-0.77
19.003,-0.77
19.017,-0.77
19.032,-0.77
19.046,-0.77
19.061,-0.77
19.075,-0.77
19.089,-0.77
19.104,-0.77
19.119,-0.77
19.134,-0.77
19.148,-0.77
19.163,-0.77
19.178,-0.77
19.192,-0.77
19.206,-0.77
19.221,-0.77
19.235,-0.77
19.25,-0.77
19.264,-0.77
19.278,-0.77
19.293,-0.77
19.308,-0.77
19.322,-0.77
19.337,-0.77
19.351,-0.77
19.365,-0.77
19.38,-0.77
19.394,-0.77
19.408,-0.77
19.423,-0.77
19.437,-0.77
19.452,-0.77
19.466,-0.78
19.481,-0.78
19.496,-0.78
19.51,-0.78
19.525,-0.78
19.539,-0.78
19.554,-0.78
19.569,-0.78
19.584,-0.77
19.598,-0.77
19.613,-0.78
19.627,-0.78
19.642,-0.78
19.656,-0.78
19.671,-0.78
19.686,-0.78
19.7,-0.78
19.715,-0.78
19.729,-0.77
19.744,-0.77
19.758,-0.77
19.776,-0.77
19.791,-0.77
19.805,-0.77
19.82,-0.77
19.835,-0.78
19.85,-0.78
19.864,-0.77
19.879,-0.77
19.893,-0.77
19.908,-0.77
19.922,-0.77
19.937,-0.77
19.952,-0.77
19.966,-0.77
19.981,-0.77
19.995,-0.77
20.01,-0.77
20.024,-0.77
20.039,-0.77
20.053,-0.77
20.068,-0.77
20.083,-0.77
20.097,-0.77
20.111,-0.77
20.126,-0.76
20.141,-0.76
20.155,-0.77
20.17,-0.77
20.185,-0.77
20.199,-0.77
20.214,-0.77
20.228,-0.77
20.242,-0.77
20.257,-0.77
20.271,-0.76
20.286,-0.76
20.3,-0.76
20.316,-0.77
20.329,-0.77
20.344,-0.77
20.359,-0.77
20.373,-0.77
20.388,-0.77
20.402,-0.77
20.417,-0.77
20.431,-0.77
20.446,-0.77
20.46,-0.77
20.475,-0.76
20.489,-0.76
20.504,-0.77
20.518,-0.77
20.533,-0.77
20.547,-0.77
20.562,-0.77
20.576,-0.77
20.591,-0.77
20.605,-0.77
20.62,-0.77
20.634,-0.77
20.649,-0.77
20.663,-0.77
20.678,-0.77
20.692,-0.77
20.707,-0.77
20.721,-0.77
20.736,-0.77
20.75,-0.77
20.765,-0.77
20.779,-0.77
20.794,-0.77
20.808,-0.77
20.823,-0.77
20.837,-0.77
20.852,-0.77
20.866,-0.76
20.881,-0.77
20.895,-0.77
20.909,-0.77
20.924,-0.77
20.939,-0.77
20.953,-0.77
20.968,-0.77
20.982,-0.77
20.997,-0.77
21.011,-0.77
21.026,-0.77
21.04,-0.77
21.055,-0.77
21.069,-0.77
21.084,-0.77
21.098,-0.77
21.113,-0.77
21.127,-0.77
21.141,-0.77
21.156,-0.77
21.17,-0.77
21.185,-0.77
21.199,-0.77
21.214,-0.77
21.228,-0.77
21.243,-0.77
21.257,-0.77
21.272,-0.77
21.287,-0.77
21.302,-0.77
21.316,-0.77
21.331,-0.77
21.346,-0.77
21.361,-0.77
21.375,-0.78
21.39,-0.78
21.404,-0.78
21.419,-0.78
21.434,-0.78
21.448,-0.78
21.462,-0.77
21.477,-0.77
21.491,-0.77
21.506,-0.77
21.52,-0.77
21.535,-0.77
21.549,-0.77
21.564,-0.77
21.578,-0.77
21.593,-0.77
21.607,-0.77
21.622,-0.77
21.636,-0.77
21.651,-0.77
21.665,-0.77
21.68,-0.77
21.694,-0.77
21.709,-0.77
21.723,-0.77
21.737,-0.77
21.752,-0.77
21.767,-0.77
21.781,-0.77
21.796,-0.77
21.811,-0.77
21.825,-0.77
21.839,-0.77
21.854,-0.77
21.868,-0.77
21.882,-0.77
21.896,-0.77
21.911,-0.77
21.926,-0.77
21.94,-0.78
21.955,-0.77
21.969,-0.77
21.984,-0.77
21.998,-0.77
22.013,-0.77
22.027,-0.77
22.042,-0.78
22.056,-0.78
22.071,-0.78
22.085,-0.77
22.099,-0.77
22.114,-0.77
22.129,-0.77
22.143,-0.77
22.157,-0.77
22.172,-0.77
22.186,-0.77
22.201,-0.77
22.215,-0.77
22.23,-0.77
22.244,-0.77
22.259,-0.77
22.273,-0.77
22.287,-0.77
22.302,-0.77
22.316,-0.77
22.331,-0.77
22.345,-0.77
22.36,-0.77
22.374,-0.77
22.388,-0.77
22.404,-0.77
22.419,-0.77
